x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63
Iya,Semarang,Kos,1,Panas,900 VA,Tidak,1-5,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,Tidak ada,6.0,4.0,1.0,7.0,5.0,9.0,8.0,3.0,10.0,2.0,Tidak punya TV,Tidak punya TV,4 - 8 jam,4 - 8 jam,Tidak punya komputer,Tidak punya komputer,Tidak punya mesin cuci,1 kali,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,9-12 Jam,<2 Jam,<2 Jam,<2 Jam,<2 Jam,<2 Jam,Ya,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),3.0,"mencabut semua kabel perangkat listrik yang sudah tidak dipakai, tidak menyalakan lampu jika sedang tidak dipakai"
Iya,Lombok,Rumah,> 5,Panas,> 2200 VA,Ya,lebih dari 20,2,1,2,1,1,Tidak ada,2,1,Tidak ada,2,1,3,3,Tidak ada,3,2,9.0,10.0,8.0,7.0,6.0,5.0,4.0,2.0,3.0,1.0,> 8 jam,8 - 12 jam,> 8 jam,> 12 jam,4 - 8 jam,4 - 8 jam,> 4 Kali,> 4 kali,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,> 12 Jam,> 12 Jam,> 12 Jam,> 12 Jam,> 12 Jam,> 12 Jam,Ya,Tidak mempunyai kendaraan listrik,> Rp 2.000.000,Naik Turun ( Tiap Bulan Naik 100.000 atau Turun 100.000),Desember,Malam (19:00 - 04:59),3.0,Mematikan alat 2 elektronik yg tidak terpakai 
Iya,Tegal,Rumah,3,Sejuk,1300 VA,Tidak,6-10,1,Tidak ada,1,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,4,Tidak ada,1,1,8.0,9.0,7.0,4.0,5.0,10.0,3.0,2.0,6.0,1.0,< 2 jam,2 - 4 jam,2 - 4 jam,4 - 8 jam,< 2 jam,2 - 4 jam,1 kali,1 kali,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,3-8 Jam,<2 Jam,<2 Jam,<2 Jam,<2 Jam,3-8 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 500.000 - Rp. 1.000.000,Stabil ( Tiap Bulan Beda 100.000),"Mei, Desember",Siang (11:00 - 15:59),4.0,"hemat energi, hemat biaya"
Iya,Banda Aceh,Rumah,3,Sejuk,1300 VA,Tidak,6-10,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,2,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,1,Tidak ada,1,1,3.0,6.0,1.0,10.0,9.0,8.0,2.0,4.0,7.0,5.0,Tidak punya TV,Tidak punya TV,> 8 jam,8 - 12 jam,8 - 12 jam,< 2 jam,4 kali,2 kali,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Ya,3-8 Jam,<2 Jam,3-8 Jam,3-8 Jam,<2 Jam,3-8 Jam,Ya,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Naik Turun ( Tiap Bulan Naik 100.000 atau Turun 100.000),Tidak Ada perbedaan signifikan,Siang (11:00 - 15:59),4.0,"Mematikan listrik saat tidak digunakan, menggunakan listri seperlu nya saja "
Iya,Banda Aceh,Rumah,5,Sejuk,2200 VA,Tidak,lebih dari 20,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,3,1,Tidak ada,3,3,1,3,Tidak ada,1,1,6.0,5.0,7.0,8.0,10.0,9.0,2.0,4.0,3.0,1.0,4 - 8 jam,8 - 12 jam,> 8 jam,8 - 12 jam,4 - 8 jam,4 - 8 jam,4 kali,4 kali,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Tidak,9-12 Jam,<2 Jam,3-8 Jam,9-12 Jam,3-8 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 1.500.001 - Rp 2.000.000,Naik Turun ( Tiap Bulan Naik 100.000 atau Turun 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),3.0,Berhemat penggunaan listrik di malam hari dan siang hari
Iya,Yogyakarta,Rumah,2,Sejuk,1300 VA,Tidak,10-15,1,Tidak ada,1,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,2,Tidak ada,2,1,Tidak ada,2,1,3.0,4.0,10.0,5.0,9.0,6.0,2.0,7.0,8.0,1.0,2 - 4 jam,2 - 4 jam,< 2 jam,4 - 8 jam,Tidak punya komputer,Tidak punya komputer,2 kali,3 kali,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Ya,3-8 Jam,9-12 Jam,3-8 Jam,3-8 Jam,3-8 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Sore (16:00 - 18:59),4.0,"pake lampu LED, ventilasi yg cukup, cabut perangkat elektronik yg sdh tidak digunakan, gunakan peralatan listrik sesuai kapasitasnya untuk mengurangi konsumsi daya yang tidak perlu"
Iya,Jakarta,Rumah,> 5,Panas,> 2200 VA,Tidak,16-20,3,1,1,1,Tidak ada,Tidak ada,1,1,Tidak ada,2,1,1,4,Tidak ada,3,1,5.0,7.0,8.0,6.0,9.0,10.0,3.0,4.0,2.0,1.0,4 - 8 jam,8 - 12 jam,4 - 8 jam,> 12 jam,2 - 4 jam,2 - 4 jam,3 kali,4 kali,Ya,Ya,Tidak,Tidak,Tidak,Ya,Tidak,3-8 Jam,<2 Jam,<2 Jam,> 12 Jam,> 12 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,> Rp 2.000.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),3.0,"Hanya menyalakan lampu di malam hari, tidak pakai ac saat siang kecuali diatas jam 10 Siang"
Iya,Bogor,Rumah,3,Sejuk,2200 VA,Tidak,6-10,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,2,Tidak ada,1,Tidak ada,5.0,2.0,7.0,4.0,10.0,3.0,6.0,8.0,9.0,1.0,4 - 8 jam,4 - 8 jam,4 - 8 jam,4 - 8 jam,8 - 12 jam,4 - 8 jam,Tidak punya mesin cuci,2 kali,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,3-8 Jam,<2 Jam,3-8 Jam,3-8 Jam,3-8 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Stabil ( Tiap Bulan Beda 100.000),Agustus,Malam (19:00 - 04:59),4.0,mengurangi pemakaian yang tidak terlalu penting
Iya,Tangerang Selatan,Rumah,> 5,Panas,> 2200 VA,Ya,lebih dari 20,1,2,Tidak ada,1,Tidak ada,Tidak ada,1,2,Tidak ada,1,Tidak ada,1,1,Tidak ada,1,1,4.0,5.0,6.0,7.0,10.0,8.0,9.0,2.0,3.0,1.0,4 - 8 jam,8 - 12 jam,> 8 jam,8 - 12 jam,Tidak punya komputer,Tidak punya komputer,> 4 Kali,> 4 kali,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,3-8 Jam,3-8 Jam,9-12 Jam,3-8 Jam,9-12 Jam,9-12 Jam,TIdak,Tidak mempunyai kendaraan listrik,> Rp 2.000.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,Mematikan yang tidak digunakan
Iya,Aceh Besar,Rumah,3,Panas,900 VA,Tidak,6-10,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,Tidak ada,1,1,Tidak ada,2,Tidak ada,4.0,1.0,6.0,8.0,9.0,10.0,7.0,2.0,5.0,3.0,4 - 8 jam,4 - 8 jam,> 8 jam,8 - 12 jam,Tidak punya komputer,Tidak punya komputer,Tidak punya mesin cuci,2 kali,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,3-8 Jam,<2 Jam,<2 Jam,3-8 Jam,3-8 Jam,3-8 Jam,Ya,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Sore (16:00 - 18:59),4.0,Membatasi penggunaan elektronik jika tidak diperlukan
Iya,Banda Aceh,Rumah,5,Panas,2200 VA,Tidak,6-10,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,2,Tidak ada,2,1,4.0,5.0,6.0,8.0,10.0,7.0,2.0,3.0,9.0,1.0,< 2 jam,< 2 jam,4 - 8 jam,8 - 12 jam,Tidak punya komputer,Tidak punya komputer,2 kali,1 kali,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,3-8 Jam,3-8 Jam,<2 Jam,<2 Jam,3-8 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 500.000 - Rp. 1.000.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,Dengan mematikan lampu yg tidak di perlukan
Iya,Banda Aceh,Rumah,2,Panas,2200 VA,Tidak,6-10,2,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,2,1,Tidak ada,1,2,Tidak ada,1,Tidak ada,2,1,3.0,4.0,2.0,5.0,6.0,7.0,8.0,9.0,10.0,1.0,< 2 jam,2 - 4 jam,> 8 jam,> 12 jam,8 - 12 jam,2 - 4 jam,2 kali,2 kali,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,9-12 Jam,3-8 Jam,<2 Jam,9-12 Jam,3-8 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,Pemakaian listrik sesuai kebutuhan
Iya,Langsa,Rumah,4,Sejuk,2200 VA,Ya,6-10,1,1,1,1,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,Tidak ada,1,1,Tidak ada,Tidak ada,1,5.0,4.0,2.0,3.0,7.0,6.0,8.0,1.0,10.0,9.0,< 2 jam,< 2 jam,4 - 8 jam,8 - 12 jam,< 2 jam,< 2 jam,3 kali,3 kali,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,> 12 Jam,3-8 Jam,3-8 Jam,3-8 Jam,9-12 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 500.000 - Rp. 1.000.000,Naik Turun ( Tiap Bulan Naik 100.000 atau Turun 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,Menggunakan elektronik seperlunya 
Iya,Jakarta,Rumah,4,Panas,2200 VA,Ya,16-20,1,1,1,1,1,1,1,2,1,2,Tidak ada,1,2,Tidak ada,2,1,3.0,6.0,4.0,9.0,10.0,8.0,7.0,2.0,5.0,1.0,4 - 8 jam,8 - 12 jam,4 - 8 jam,4 - 8 jam,2 - 4 jam,2 - 4 jam,4 kali,4 kali,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Ya,3-8 Jam,9-12 Jam,3-8 Jam,3-8 Jam,3-8 Jam,3-8 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 1.000.001 - Rp 1.500.000,Naik Turun ( Tiap Bulan Naik 100.000 atau Turun 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,Mematikan yg tdk perlu
Iya,Tapaktuan,Rumah,4,Panas,2200 VA,Tidak,6-10,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,2,3,Tidak ada,3,Tidak ada,7.0,1.0,5.0,6.0,8.0,9.0,4.0,3.0,10.0,2.0,< 2 jam,< 2 jam,4 - 8 jam,4 - 8 jam,Tidak punya komputer,Tidak punya komputer,Tidak punya mesin cuci,1 kali,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,3-8 Jam,<2 Jam,<2 Jam,<2 Jam,<2 Jam,3-8 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 500.000 - Rp. 1.000.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,Mengurangi pemakaian peralatan listrik yang tidak perlu 
Iya,Bekasi,Rumah,> 5,Panas,2200 VA,Tidak,10-15,1,Tidak ada,1,Tidak ada,1,Tidak ada,3,1,Tidak ada,1,Tidak ada,2,3,Tidak ada,5,2,5.0,7.0,3.0,6.0,8.0,9.0,4.0,2.0,1.0,10.0,4 - 8 jam,8 - 12 jam,4 - 8 jam,> 12 jam,4 - 8 jam,< 2 jam,> 4 Kali,> 4 kali,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,> 12 Jam,> 12 Jam,9-12 Jam,3-8 Jam,> 12 Jam,9-12 Jam,TIdak,Tidak mempunyai kendaraan listrik,Rp. 1.000.001 - Rp 1.500.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,memtikan listrik ketika tidak digunakan
Iya,Banda Aceh,Rumah,1,Sejuk,2200 VA,Tidak,6-10,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,3,1,Tidak ada,4,1,6.0,1.0,8.0,2.0,4.0,3.0,7.0,5.0,9.0,10.0,< 2 jam,< 2 jam,4 - 8 jam,4 - 8 jam,< 2 jam,< 2 jam,4 kali,4 kali,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,3-8 Jam,<2 Jam,3-8 Jam,3-8 Jam,9-12 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 500.000 - Rp. 1.000.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),3.0,Memadamkan peralatan listrik yang tidak digunakan
Iya,Banda Aceh,Rumah,4,Sejuk,2200 VA,Tidak,16-20,1,1,1,Tidak ada,Tidak ada,Tidak ada,1,1,Tidak ada,1,1,1,2,Tidak ada,2,1,6.0,9.0,4.0,2.0,1.0,3.0,5.0,7.0,8.0,10.0,2 - 4 jam,2 - 4 jam,4 - 8 jam,4 - 8 jam,4 - 8 jam,2 - 4 jam,1 kali,1 kali,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,3-8 Jam,3-8 Jam,<2 Jam,3-8 Jam,3-8 Jam,3-8 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 500.000 - Rp. 1.000.000,Stabil ( Tiap Bulan Beda 100.000),Agustus,Malam (19:00 - 04:59),4.0,Dengan memanfaatkan dan menghidupkan peralatan listrik yang dibutuhkan saja
Iya,Mataram,Rumah,3,Sejuk,1300 VA,Ya,10-15,2,1,1,Tidak ada,1,Tidak ada,3,2,Tidak ada,1,1,1,3,Tidak ada,1,1,7.0,8.0,2.0,9.0,10.0,5.0,4.0,3.0,6.0,1.0,4 - 8 jam,> 12 jam,4 - 8 jam,> 12 jam,8 - 12 jam,8 - 12 jam,4 kali,> 4 kali,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Ya,3-8 Jam,9-12 Jam,<2 Jam,3-8 Jam,3-8 Jam,9-12 Jam,TIdak,Tidak mempunyai kendaraan listrik,Rp. 500.000 - Rp. 1.000.000,Stabil ( Tiap Bulan Beda 100.000),Desember,Malam (19:00 - 04:59),4.0,Meminimalisir penggunaan barang yg membutuhkan listrik
Iya,Aceh Besar,Rumah,> 5,Sejuk,1300 VA,Tidak,6-10,lebih dari 5,Tidak ada,4,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,1,Tidak ada,5,3,Tidak ada,2,1,5.0,8.0,4.0,10.0,9.0,6.0,2.0,3.0,7.0,1.0,< 2 jam,< 2 jam,> 8 jam,8 - 12 jam,4 - 8 jam,4 - 8 jam,3 kali,3 kali,Ya,Ya,Tidak,Tidak,Tidak,Ya,Tidak,9-12 Jam,3-8 Jam,3-8 Jam,3-8 Jam,9-12 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 500.000 - Rp. 1.000.000,Stabil ( Tiap Bulan Beda 100.000),Mei,Malam (19:00 - 04:59),4.0,menghemat listrik dengan cara mematikan apabila tidak dipergunakan lagi
Iya,Aceh Barat Daya,Rumah,> 5,Sejuk,1300 VA,Ya,16-20,1,1,1,Tidak ada,1,1,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,2,Tidak ada,Tidak ada,3,1,4.0,5.0,3.0,10.0,9.0,8.0,2.0,6.0,7.0,1.0,Tidak punya TV,Tidak punya TV,4 - 8 jam,4 - 8 jam,< 2 jam,< 2 jam,2 kali,2 kali,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,3-8 Jam,<2 Jam,<2 Jam,3-8 Jam,3-8 Jam,3-8 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 500.000 - Rp. 1.000.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),3.0,Tidak menghidupkan lampu atau barang elektronik yang tidak digunakan
Iya,Banda Aceh,Rumah,3,Panas,450 VA,Tidak,6-10,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,1,Tidak ada,2,1,8.0,6.0,3.0,9.0,10.0,5.0,7.0,2.0,4.0,1.0,Tidak punya TV,Tidak punya TV,4 - 8 jam,4 - 8 jam,Tidak punya komputer,Tidak punya komputer,3 kali,3 kali,Ya,Ya,Tidak,Tidak,Tidak,Ya,Tidak,3-8 Jam,3-8 Jam,9-12 Jam,9-12 Jam,3-8 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,Mematikannnya jika sudah tidak digunakan
Iya,Kendari,Rumah,5,Panas,2200 VA,Tidak,6-10,1,Tidak ada,1,Tidak ada,1,Tidak ada,1,2,Tidak ada,1,Tidak ada,1,2,Tidak ada,2,1,2.0,7.0,8.0,9.0,10.0,6.0,3.0,5.0,4.0,1.0,< 2 jam,2 - 4 jam,2 - 4 jam,2 - 4 jam,2 - 4 jam,2 - 4 jam,2 kali,3 kali,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,3-8 Jam,<2 Jam,3-8 Jam,3-8 Jam,<2 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 1.500.001 - Rp 2.000.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,Menghemat pemakaian daya listrik
Iya,Banda Aceh,Rumah,4,Sejuk,2200 VA,Ya,1-5,1,1,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,Tidak ada,1,2,Tidak ada,1,Tidak ada,3.0,2.0,5.0,4.0,10.0,6.0,7.0,8.0,9.0,1.0,2 - 4 jam,4 - 8 jam,< 2 jam,2 - 4 jam,< 2 jam,4 - 8 jam,Tidak punya mesin cuci,3 kali,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,3-8 Jam,<2 Jam,<2 Jam,3-8 Jam,<2 Jam,3-8 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 1.000.001 - Rp 1.500.000,Naik Turun ( Tiap Bulan Naik 100.000 atau Turun 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,Mematikan yang tidak perlu
Iya,Bengkulu,Rumah,2,Sejuk,2200 VA,Tidak,10-15,1,1,1,1,Tidak ada,Tidak ada,1,1,Tidak ada,1,1,1,1,Tidak ada,2,1,3.0,8.0,9.0,10.0,7.0,6.0,2.0,4.0,5.0,1.0,2 - 4 jam,4 - 8 jam,4 - 8 jam,8 - 12 jam,4 - 8 jam,4 - 8 jam,4 kali,1 kali,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,9-12 Jam,<2 Jam,<2 Jam,3-8 Jam,<2 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 500.000 - Rp. 1.000.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,Penggunaan peralatan yang menggunakan listrik sesuai kebutuhan
Iya,Langsa,Rumah,3,Panas,450 VA,Tidak,10-15,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,2,Tidak ada,1,Tidak ada,Tidak ada,2,1,10.0,6.0,4.0,9.0,8.0,7.0,1.0,2.0,5.0,3.0,< 2 jam,< 2 jam,> 8 jam,> 12 jam,Tidak punya komputer,Tidak punya komputer,3 kali,2 kali,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,3-8 Jam,<2 Jam,<2 Jam,9-12 Jam,<2 Jam,<2 Jam,Ya,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Naik Turun ( Tiap Bulan Naik 100.000 atau Turun 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),3.0,Mengurangi pemakaian yang tidak berguna 
Iya,Banda Aceh,Rumah,5,Sejuk,2200 VA,Tidak,lebih dari 20,1,Tidak ada,1,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,3,Tidak ada,3,1,5.0,6.0,4.0,7.0,9.0,10.0,3.0,2.0,8.0,1.0,< 2 jam,< 2 jam,> 8 jam,8 - 12 jam,Tidak punya komputer,Tidak punya komputer,3 kali,> 4 kali,Ya,Ya,Tidak,Tidak,Tidak,Ya,Tidak,> 12 Jam,<2 Jam,<2 Jam,9-12 Jam,9-12 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 1.000.001 - Rp 1.500.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,mencabut semua peralatan elektronik yang tidak digunakan
Iya,Blangpidie,Rumah,4,Sejuk,900 VA,Ya,10-15,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,Tidak ada,1,Tidak ada,Tidak ada,2,1,7.0,3.0,6.0,9.0,4.0,5.0,8.0,2.0,10.0,1.0,4 - 8 jam,8 - 12 jam,2 - 4 jam,4 - 8 jam,Tidak punya komputer,Tidak punya komputer,3 kali,4 kali,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Ya,3-8 Jam,<2 Jam,3-8 Jam,3-8 Jam,3-8 Jam,3-8 Jam,Ya,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,Menggunakan yang prioritas
Iya,Jakarta,Rumah,> 5,Panas,2200 VA,Ya,lebih dari 20,1,1,1,Tidak ada,Tidak ada,Tidak ada,3,3,Tidak ada,2,2,lebih dari 5,5,Tidak ada,2,1,2.0,3.0,4.0,5.0,10.0,6.0,9.0,8.0,7.0,1.0,4 - 8 jam,4 - 8 jam,4 - 8 jam,8 - 12 jam,4 - 8 jam,8 - 12 jam,3 kali,2 kali,Ya,Ya,Ya,Ya,Ya,Ya,Ya,> 12 Jam,> 12 Jam,> 12 Jam,> 12 Jam,> 12 Jam,> 12 Jam,TIdak,Tidak mempunyai kendaraan listrik,> Rp 2.000.000,Terus Mengalami Kenaikan ( Hampir Tiap Bulan Naik 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),2.0,mematikan lampu yg tidak digunakan
Iya,Jakarta,Kos,1,Panas,1300 VA,Ya,1-5,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,Tidak ada,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0,< 2 jam,< 2 jam,4 - 8 jam,4 - 8 jam,4 - 8 jam,2 - 4 jam,Tidak punya mesin cuci,Tidak punya setrika,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,9-12 Jam,> 12 Jam,<2 Jam,<2 Jam,<2 Jam,<2 Jam,Ya,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Naik Turun ( Tiap Bulan Naik 100.000 atau Turun 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,matiin lampu kalau keluar
Iya,Banda Aceh,Rumah,> 5,Panas,1300 VA,Tidak,10-15,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,1,Tidak ada,3,1,5.0,6.0,4.0,10.0,7.0,9.0,2.0,3.0,8.0,1.0,< 2 jam,< 2 jam,> 8 jam,> 12 jam,4 - 8 jam,< 2 jam,> 4 Kali,3 kali,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,3-8 Jam,<2 Jam,3-8 Jam,3-8 Jam,3-8 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 500.000 - Rp. 1.000.000,Naik Turun ( Tiap Bulan Naik 100.000 atau Turun 100.000),Tidak Ada perbedaan signifikan,Pagi (05:00 - 10:59),4.0,AC dimatikan ketika keluar rumah 
Iya,Banda Aceh,Rumah,4,Panas,1300 VA,Ya,10-15,1,1,1,1,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,Tidak ada,1,2,Tidak ada,2,1,5.0,4.0,3.0,6.0,10.0,9.0,7.0,2.0,8.0,1.0,< 2 jam,< 2 jam,4 - 8 jam,4 - 8 jam,2 - 4 jam,< 2 jam,3 kali,3 kali,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Ya,3-8 Jam,3-8 Jam,<2 Jam,3-8 Jam,3-8 Jam,3-8 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 500.000 - Rp. 1.000.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),3.0,Menghemat pemakaian yg tdk perlu
Iya,Banda Aceh,Rumah,5,Panas,2200 VA,Tidak,10-15,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,1,1,Tidak ada,1,Tidak ada,1,2,Tidak ada,1,1,5.0,6.0,3.0,9.0,10.0,2.0,7.0,4.0,8.0,1.0,< 2 jam,2 - 4 jam,< 2 jam,8 - 12 jam,2 - 4 jam,4 - 8 jam,3 kali,4 kali,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,3-8 Jam,<2 Jam,<2 Jam,<2 Jam,3-8 Jam,3-8 Jam,TIdak,Tidak mempunyai kendaraan listrik,Rp. 1.000.001 - Rp 1.500.000,Naik Turun ( Tiap Bulan Naik 100.000 atau Turun 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,Berupa selektif
